simulacion,operacion,direccion,precio_entrada,precio_salida,sl_pct,tp_pct,sl_price,tp_price,pnl,duracion,resultado,open_t-1,high_t-1,low_t-1,close_t-1,open_t-2,high_t-2,low_t-2,close_t-2,open_t-3,high_t-3,low_t-3,close_t-3,open_t-4,high_t-4,low_t-4,close_t-4,open_t-5,high_t-5,low_t-5,close_t-5,open_t-6,high_t-6,low_t-6,close_t-6,open_t-7,high_t-7,low_t-7,close_t-7,open_t-8,high_t-8,low_t-8,close_t-8,open_t-9,high_t-9,low_t-9,close_t-9,open_t-10,high_t-10,low_t-10,close_t-10,open_t-11,high_t-11,low_t-11,close_t-11,open_t-12,high_t-12,low_t-12,close_t-12,open_t-13,high_t-13,low_t-13,close_t-13,open_t-14,high_t-14,low_t-14,close_t-14,open_t-15,high_t-15,low_t-15,close_t-15,open_t-16,high_t-16,low_t-16,close_t-16,open_t-17,high_t-17,low_t-17,close_t-17,open_t-18,high_t-18,low_t-18,close_t-18,open_t-19,high_t-19,low_t-19,close_t-19,open_t-20,high_t-20,low_t-20,close_t-20,open_t-21,high_t-21,low_t-21,close_t-21,open_t-22,high_t-22,low_t-22,close_t-22,open_t-23,high_t-23,low_t-23,close_t-23,open_t-24,high_t-24,low_t-24,close_t-24,open_t-25,high_t-25,low_t-25,close_t-25,open_t-26,high_t-26,low_t-26,close_t-26,open_t-27,high_t-27,low_t-27,close_t-27,open_t-28,high_t-28,low_t-28,close_t-28,open_t-29,high_t-29,low_t-29,close_t-29,open_t-30,high_t-30,low_t-30,close_t-30,open_t-31,high_t-31,low_t-31,close_t-31,open_t-32,high_t-32,low_t-32,close_t-32,open_t-33,high_t-33,low_t-33,close_t-33,open_t-34,high_t-34,low_t-34,close_t-34,open_t-35,high_t-35,low_t-35,close_t-35,open_t-36,high_t-36,low_t-36,close_t-36,open_t-37,high_t-37,low_t-37,close_t-37,open_t-38,high_t-38,low_t-38,close_t-38,open_t-39,high_t-39,low_t-39,close_t-39,open_t-40,high_t-40,low_t-40,close_t-40,open_t-41,high_t-41,low_t-41,close_t-41,open_t-42,high_t-42,low_t-42,close_t-42,open_t-43,high_t-43,low_t-43,close_t-43,open_t-44,high_t-44,low_t-44,close_t-44,open_t-45,high_t-45,low_t-45,close_t-45,open_t-46,high_t-46,low_t-46,close_t-46,open_t-47,high_t-47,low_t-47,close_t-47,open_t-48,high_t-48,low_t-48,close_t-48,open_t-49,high_t-49,low_t-49,close_t-49,open_t-50,high_t-50,low_t-50,close_t-50
5,116,Corta,69339.29,0.0,3.46,3.39,71739.62,66991.86,2211.09,840.0,Ganadora,67979.63,68177.0,67690.95,67734.81,68330.02,68363.35,67910.0,67979.63,68263.98,68393.63,68005.85,68330.02,68345.81,68347.0,68124.0,68263.99,68536.0,68539.99,68270.92,68345.82,68103.96,68667.44,68097.91,68536.0,67532.92,68312.0,67413.51,68103.97,68828.0,69226.14,67250.0,67532.92,69800.0,69808.47,68575.0,68828.01,69616.01,69862.4,69492.0,69799.99,69734.0,69786.46,69289.5,69616.0,69960.56,69999.0,69539.54,69734.0,69320.01,69980.0,69300.01,69960.57,69339.29,69649.8,69084.0,69320.0,67778.43,69488.0,67736.0,69339.29,67991.99,68015.4,67716.22,67778.43,67753.33,68059.01,67753.32,67991.98,67393.47,67804.0,67353.02,67753.32,67453.64,67532.64,67376.1,67393.46,67281.63,67500.01,67229.78,67453.63,67243.21,67382.81,67243.2,67281.64,67481.6,67505.13,67195.97,67243.21,67407.01,67624.89,67350.01,67481.59,67415.26,67496.25,67317.77,67407.0,67180.0,67596.15,67128.08,67415.25,67199.99,67240.0,66905.0,67180.01,67314.23,67436.53,67183.47,67199.99,67360.22,67588.22,67309.91,67314.24,67396.61,67572.54,67311.42,67360.22,67290.07,67396.62,67202.26,67396.61,67407.02,67500.0,67173.92,67290.07,67117.31,67586.64,67070.51,67407.01,66771.0,67229.93,66652.39,67117.3,66487.48,66805.98,66175.0,66770.99,66244.48,66738.78,66161.26,66487.47,66851.27,67076.0,66051.0,66244.48,66812.01,67103.42,66776.81,66851.26,67020.0,67278.88,66568.35,66812.0,66890.0,67194.31,66790.8,67019.99,66961.99,67123.13,66762.58,66890.01,67084.33,67303.46,66732.0,66961.99,67516.75,67662.49,66900.0,67084.34,67570.18,67641.03,67284.38,67516.74,67691.99,67844.76,67526.95,67570.18,67903.58,67974.49,67325.0,67692.0,68024.03,68056.28,67657.03,67903.57,68464.0,68464.0,67617.0,68024.04,68268.62,68488.0,68170.0,68464.0,68724.0,68922.29,67900.0,68268.62,69410.86,69523.71,68500.0,68724.01
5,117,Corta,67474.95,0.0,3.32,1.69,69713.37,66337.5,1003.64,720.0,Ganadora,67365.62,67537.87,66368.76,66470.01,67590.0,67739.28,67150.0,67365.62,67749.54,68272.0,67521.55,67589.99,67740.0,68449.3,67439.43,67749.54,67820.4,67961.07,67648.49,67739.99,67419.86,67971.2,67230.94,67820.4,67565.57,67569.67,67168.0,67419.86,67724.8,67752.06,67508.0,67565.56,67518.58,67724.81,67399.99,67724.81,67604.04,67614.55,67300.3,67518.57,67328.01,67680.0,67328.01,67604.04,67474.95,67729.41,67328.0,67328.01,67734.8,67850.08,66969.98,67474.94,67979.63,68177.0,67690.95,67734.81,68330.02,68363.35,67910.0,67979.63,68263.98,68393.63,68005.85,68330.02,68345.81,68347.0,68124.0,68263.99,68536.0,68539.99,68270.92,68345.82,68103.96,68667.44,68097.91,68536.0,67532.92,68312.0,67413.51,68103.97,68828.0,69226.14,67250.0,67532.92,69800.0,69808.47,68575.0,68828.01,69616.01,69862.4,69492.0,69799.99,69734.0,69786.46,69289.5,69616.0,69960.56,69999.0,69539.54,69734.0,69320.01,69980.0,69300.01,69960.57,69339.29,69649.8,69084.0,69320.0,67778.43,69488.0,67736.0,69339.29,67991.99,68015.4,67716.22,67778.43,67753.33,68059.01,67753.32,67991.98,67393.47,67804.0,67353.02,67753.32,67453.64,67532.64,67376.1,67393.46,67281.63,67500.01,67229.78,67453.63,67243.21,67382.81,67243.2,67281.64,67481.6,67505.13,67195.97,67243.21,67407.01,67624.89,67350.01,67481.59,67415.26,67496.25,67317.77,67407.0,67180.0,67596.15,67128.08,67415.25,67199.99,67240.0,66905.0,67180.01,67314.23,67436.53,67183.47,67199.99,67360.22,67588.22,67309.91,67314.24,67396.61,67572.54,67311.42,67360.22,67290.07,67396.62,67202.26,67396.61,67407.02,67500.0,67173.92,67290.07,67117.31,67586.64,67070.51,67407.01,66771.0,67229.93,66652.39,67117.3,66487.48,66805.98,66175.0,66770.99,66244.48,66738.78,66161.26,66487.47,66851.27,67076.0,66051.0,66244.48,66812.01,67103.42,66776.81,66851.26
5,119,Larga,65293.39,0.0,2.45,1.71,63690.98,66409.64,984.56,240.0,Ganadora,65520.02,65970.23,65480.0,65766.41,65524.85,65684.0,65299.99,65520.02,65416.01,65537.31,65078.0,65524.86,65293.39,65753.23,65078.31,65416.01,66392.0,66520.0,65200.87,65293.4,66982.98,67059.46,66344.67,66392.0,66982.98,67059.46,66344.67,66392.0,67070.49,67115.25,66561.3,66982.98,67083.31,67370.24,66950.0,67070.5,67035.99,67288.0,66960.58,67083.3,66873.15,67101.0,66746.4,67036.0,66920.01,67015.92,66836.54,66873.14,67152.04,67152.04,66899.39,66920.01,66904.98,67256.32,66863.46,67152.04,66962.4,67110.1,66885.68,66904.98,67052.5,67124.29,66876.0,66962.41,66717.38,67221.32,66707.76,67052.49,66744.0,66833.33,66717.0,66717.39,66952.01,66982.98,66676.28,66744.0,66806.17,67027.32,66713.5,66952.0,66727.73,66833.1,66480.0,66806.17,66773.01,66897.96,66604.6,66727.73,66895.99,66909.26,66681.4,66773.01,66969.99,66980.0,66840.07,66896.0,66712.97,66969.99,66680.14,66969.99,66604.01,66810.48,66530.84,66712.98,66862.99,66884.0,66588.83,66604.01,66919.99,66976.87,66693.43,66862.99,66976.01,67080.13,66639.47,66920.0,66470.01,67019.42,66251.78,66976.0,67365.62,67537.87,66368.76,66470.01,67590.0,67739.28,67150.0,67365.62,67749.54,68272.0,67521.55,67589.99,67740.0,68449.3,67439.43,67749.54,67820.4,67961.07,67648.49,67739.99,67419.86,67971.2,67230.94,67820.4,67565.57,67569.67,67168.0,67419.86,67724.8,67752.06,67508.0,67565.56,67518.58,67724.81,67399.99,67724.81,67604.04,67614.55,67300.3,67518.57,67328.01,67680.0,67328.01,67604.04,67474.95,67729.41,67328.0,67328.01,67734.8,67850.08,66969.98,67474.94,67979.63,68177.0,67690.95,67734.81,68330.02,68363.35,67910.0,67979.63,68263.98,68393.63,68005.85,68330.02,68345.81,68347.0,68124.0,68263.99,68536.0,68539.99,68270.92,68345.82,68103.96,68667.44,68097.91,68536.0,67532.92,68312.0,67413.51,68103.97
5,121,Larga,65200.0,0.0,1.39,1.88,64293.78,66427.84,1096.22,180.0,Ganadora,65368.0,66056.65,65138.0,65898.0,65472.98,65788.73,65239.97,65368.0,65200.0,65790.0,65130.0,65472.98,65625.49,65807.05,65189.0,65200.01,65817.2,65827.9,65500.0,65625.01,65890.01,66051.5,65796.01,65817.2,65722.07,65960.01,65556.0,65890.0,66194.5,66250.01,65645.34,65722.08,66172.0,66317.64,65984.01,66194.51,66132.4,66376.0,65939.67,66172.0,66351.62,66398.0,66080.0,66132.4,66447.88,66567.68,66295.0,66351.62,66222.0,66447.88,66170.77,66447.88,66344.01,66431.36,66155.0,66222.0,66472.25,66480.0,66213.71,66344.02,66583.96,66610.0,66234.26,66472.26,66676.86,66913.69,66549.37,66583.96,66755.99,66826.13,66631.4,66676.87,66525.01,66998.7,66525.0,66755.99,66517.54,66541.53,66460.0,66525.0,66562.52,66620.01,66461.25,66517.55,66590.01,66647.69,66522.0,66562.52,66578.02,66669.95,66573.51,66590.01,66592.19,66669.99,66522.0,66578.02,66712.8,66744.71,66557.2,66592.19,66519.01,66723.0,66512.06,66712.8,66762.49,66793.72,66504.0,66519.02,66597.48,66762.5,66560.0,66762.49,66492.83,66642.2,66480.0,66597.47,66716.31,66742.39,66435.15,66492.83,66409.97,66770.0,66372.47,66716.31,66272.51,66428.45,66172.5,66409.97,66266.3,66340.0,66241.64,66272.51,66312.01,66357.97,66252.0,66266.3,66264.0,66360.18,66178.77,66312.01,66166.02,66264.0,66166.01,66264.0,66145.99,66207.72,66034.5,66166.02,66142.86,66164.3,66076.55,66146.0,66175.68,66182.26,66114.27,66142.86,66161.96,66218.48,66102.03,66175.68,66228.25,66269.74,66161.95,66161.96,66199.99,66287.76,66199.99,66228.25,66126.89,66200.0,66045.08,66200.0,66048.02,66149.0,66042.85,66126.89,66154.7,66170.99,65857.1,66048.02,66145.19,66208.0,66071.47,66154.7,66250.0,66250.0,66139.5,66145.19,66184.0,66304.94,66133.92,66250.01,66316.02,66360.0,66179.99,66184.0,66220.51,66478.48,66210.83,66316.02
5,124,Larga,64412.18,0.0,2.96,3.08,62505.81,66395.96,1852.98,2340.0,Ganadora,65719.99,66287.49,65646.0,66209.49,65690.63,65750.32,65559.45,65719.99,65858.84,65927.48,65603.33,65690.63,65465.24,65967.39,65465.23,65858.84,65513.93,65635.83,65386.0,65465.24,65306.01,65613.3,65252.0,65513.93,65190.0,65338.72,65070.91,65306.01,65197.45,65244.21,65092.0,65189.99,65158.57,65237.11,64960.0,65197.45,65098.0,65407.4,65033.02,65158.56,64974.37,65100.36,64818.72,65098.01,64836.01,64995.19,64805.01,64974.37,65004.38,65048.23,64836.0,64836.01,64874.76,65087.76,64836.98,65004.38,64882.02,64933.74,64666.0,64874.76,64973.0,64985.49,64791.76,64882.01,65083.99,65158.79,64964.06,64973.0,64922.26,65284.37,64894.25,65083.99,64921.99,65100.03,64807.35,64922.26,64952.02,65129.57,64756.28,64922.0,65090.22,65141.89,64832.57,64952.02,65192.21,65245.21,65054.0,65090.22,65210.0,65310.02,65030.48,65192.21,65520.0,65544.0,65000.0,65210.0,65306.66,65520.0,65132.09,65520.0,65183.89,65306.66,65072.0,65306.65,65326.89,65356.0,65102.0,65183.89,65600.0,65656.24,65158.05,65326.89,65413.09,65600.0,65400.0,65599.99,65425.56,65557.13,65335.0,65413.09,65404.0,65727.54,65349.99,65425.56,65327.94,65603.91,65282.0,65404.0,65035.59,65489.43,65012.0,65327.94,65142.53,65500.0,64810.62,65035.59,65175.32,65225.89,64855.96,65142.54,65279.99,65279.99,65056.29,65175.32,65220.02,65300.0,65052.44,65279.99,64936.5,65305.0,64797.48,65220.02,64412.18,65048.21,64178.1,64936.51,64678.0,64738.83,64060.0,64412.19,64609.99,64867.88,64321.0,64678.01,64700.99,64904.91,64400.0,64610.0,64705.99,64868.98,64336.0,64700.99,64634.0,64929.95,64261.12,64706.0,64844.01,65406.0,64359.92,64633.99,65231.95,65268.0,64638.06,64844.0,65366.0,65433.97,65001.0,65231.95,65435.51,65487.83,65100.0,65366.0,65469.92,65612.84,65344.99,65435.52,65727.54,65727.54,65439.97,65469.92
5,126,Corta,63639.64,0.0,1.84,2.02,64812.8,62355.5,1158.15,4080.0,Ganadora,62862.0,62952.0,62634.0,62840.97,62880.95,63077.44,62767.65,62862.0,63315.99,63369.8,62695.02,62880.94,63080.01,63348.32,62920.0,63315.99,63210.01,63336.32,62903.69,63080.0,63658.0,63700.01,63178.32,63210.01,63844.67,63844.67,63639.99,63657.99,63740.02,63860.0,63536.0,63844.67,64149.78,64159.0,63601.01,63740.01,64111.99,64187.62,64094.45,64149.78,64120.39,64153.39,64068.0,64111.98,63927.48,64178.76,63927.48,64120.39,64094.01,64180.01,63918.58,63927.49,64192.0,64200.0,64049.41,64094.0,64297.79,64310.0,64140.9,64192.01,64376.0,64429.1,64254.02,64297.79,64341.46,64376.0,64318.15,64375.99,64305.6,64341.46,64252.85,64341.45,64418.81,64418.81,64281.32,64305.6,64395.44,64437.28,64395.43,64418.81,64415.27,64435.72,64384.19,64395.43,64386.51,64433.03,64376.41,64415.27,64380.01,64413.58,64380.0,64386.5,64378.02,64419.98,64349.49,64380.0,64416.14,64428.25,64375.19,64378.02,64507.17,64519.57,64416.13,64416.14,64476.2,64507.17,64370.0,64507.17,64476.44,64521.0,64329.36,64476.19,64262.01,64520.0,64262.0,64476.43,64315.79,64328.0,64260.0,64262.01,64330.0,64330.0,64272.09,64315.79,64284.0,64330.0,64266.8,64330.0,64295.01,64303.48,64246.01,64283.99,64260.82,64295.02,64218.5,64295.01,64256.38,64328.94,64250.71,64260.81,64321.29,64348.87,64255.0,64256.37,64307.09,64362.0,64272.29,64321.28,64287.96,64307.09,64255.01,64307.08,64284.0,64397.82,64250.25,64287.96,64297.85,64303.22,64246.52,64284.0,64265.27,64336.0,64265.26,64297.84,64311.72,64320.0,64237.58,64265.26,64325.99,64372.66,64280.0,64311.71,64289.16,64338.28,64214.43,64325.99,64519.99,64546.81,64284.0,64289.15,64430.01,64540.26,64324.67,64520.0,64424.21,64530.61,64362.06,64430.0,64364.12,64427.98,64257.79,64424.21,64327.46,64367.17,64253.07,64364.11,64303.41,64332.0,64271.95,64327.45
5,127,Corta,62314.01,0.0,2.54,2.44,63897.43,60795.63,1395.27,180.0,Ganadora,62456.0,62975.6,62340.01,62730.92,62405.0,62596.24,62177.37,62456.0,62314.01,62426.0,62160.72,62405.0,62840.96,62881.86,62258.01,62314.01,62862.0,62952.0,62634.0,62840.97,62880.95,63077.44,62767.65,62862.0,63315.99,63369.8,62695.02,62880.94,63080.01,63348.32,62920.0,63315.99,63210.01,63336.32,62903.69,63080.0,63658.0,63700.01,63178.32,63210.01,63844.67,63844.67,63639.99,63657.99,63740.02,63860.0,63536.0,63844.67,64149.78,64159.0,63601.01,63740.01,64111.99,64187.62,64094.45,64149.78,64120.39,64153.39,64068.0,64111.98,63927.48,64178.76,63927.48,64120.39,64094.01,64180.01,63918.58,63927.49,64192.0,64200.0,64049.41,64094.0,64297.79,64310.0,64140.9,64192.01,64376.0,64429.1,64254.02,64297.79,64341.46,64376.0,64318.15,64375.99,64305.6,64341.46,64252.85,64341.45,64418.81,64418.81,64281.32,64305.6,64395.44,64437.28,64395.43,64418.81,64415.27,64435.72,64384.19,64395.43,64386.51,64433.03,64376.41,64415.27,64380.01,64413.58,64380.0,64386.5,64378.02,64419.98,64349.49,64380.0,64416.14,64428.25,64375.19,64378.02,64507.17,64519.57,64416.13,64416.14,64476.2,64507.17,64370.0,64507.17,64476.44,64521.0,64329.36,64476.19,64262.01,64520.0,64262.0,64476.43,64315.79,64328.0,64260.0,64262.01,64330.0,64330.0,64272.09,64315.79,64284.0,64330.0,64266.8,64330.0,64295.01,64303.48,64246.01,64283.99,64260.82,64295.02,64218.5,64295.01,64256.38,64328.94,64250.71,64260.81,64321.29,64348.87,64255.0,64256.37,64307.09,64362.0,64272.29,64321.28,64287.96,64307.09,64255.01,64307.08,64284.0,64397.82,64250.25,64287.96,64297.85,64303.22,64246.52,64284.0,64265.27,64336.0,64265.26,64297.84,64311.72,64320.0,64237.58,64265.26,64325.99,64372.66,64280.0,64311.71,64289.16,64338.28,64214.43,64325.99,64519.99,64546.81,64284.0,64289.15,64430.01,64540.26,64324.67,64520.0
5,130,Larga,59514.0,0.0,0.93,2.94,58962.07,61264.35,1629.57,360.0,Ganadora,60492.0,60725.05,60412.0,60676.01,60409.11,60511.0,60282.0,60492.0,60293.3,60664.3,60257.06,60409.11,60048.98,60442.71,60002.59,60293.3,60119.24,60277.11,59985.79,60048.98,59514.0,60119.24,59411.11,60119.24,59306.72,59660.0,58402.0,59514.0,60412.01,60478.34,59058.0,59306.72,60244.89,60487.0,59711.2,60412.01,60168.01,60548.46,59859.0,60244.89,60843.99,61044.44,60000.0,60168.01,61303.41,61368.0,60670.36,60843.99,61569.19,61700.0,61100.0,61303.41,61215.21,61649.63,60915.93,61569.2,61291.95,61514.55,61121.21,61215.21,61167.15,61382.65,60836.09,61291.95,61402.28,61582.0,61125.0,61167.15,62730.92,62867.0,60567.01,61402.28,62456.0,62975.6,62340.01,62730.92,62405.0,62596.24,62177.37,62456.0,62314.01,62426.0,62160.72,62405.0,62840.96,62881.86,62258.01,62314.01,62862.0,62952.0,62634.0,62840.97,62880.95,63077.44,62767.65,62862.0,63315.99,63369.8,62695.02,62880.94,63080.01,63348.32,62920.0,63315.99,63210.01,63336.32,62903.69,63080.0,63658.0,63700.01,63178.32,63210.01,63844.67,63844.67,63639.99,63657.99,63740.02,63860.0,63536.0,63844.67,64149.78,64159.0,63601.01,63740.01,64111.99,64187.62,64094.45,64149.78,64120.39,64153.39,64068.0,64111.98,63927.48,64178.76,63927.48,64120.39,64094.01,64180.01,63918.58,63927.49,64192.0,64200.0,64049.41,64094.0,64297.79,64310.0,64140.9,64192.01,64376.0,64429.1,64254.02,64297.79,64341.46,64376.0,64318.15,64375.99,64305.6,64341.46,64252.85,64341.45,64418.81,64418.81,64281.32,64305.6,64395.44,64437.28,64395.43,64418.81,64415.27,64435.72,64384.19,64395.43,64386.51,64433.03,64376.41,64415.27,64380.01,64413.58,64380.0,64386.5,64378.02,64419.98,64349.49,64380.0,64416.14,64428.25,64375.19,64378.02,64507.17,64519.57,64416.13,64416.14,64476.2,64507.17,64370.0,64507.17,64476.44,64521.0,64329.36,64476.19
5,131,Corta,61302.59,0.0,3.36,1.51,63360.89,60378.44,802.47,5220.0,Ganadora,60826.63,60870.0,60669.74,60828.02,60940.01,61076.25,60708.32,60826.63,61062.0,61119.58,60650.0,60940.01,60928.01,61191.62,60751.0,61062.01,61297.99,61510.0,60780.01,60928.02,61395.09,61848.49,61233.92,61297.99,61690.0,61875.0,61275.61,61395.09,61548.14,61792.34,61482.96,61690.0,61547.55,61595.68,61435.41,61548.14,61480.21,61592.0,61349.99,61547.55,61350.01,61480.21,61212.11,61480.21,61620.96,61620.96,61236.0,61350.01,61604.0,61669.41,61504.48,61620.96,61750.44,61750.44,61500.0,61604.01,61828.17,61834.41,61500.07,61750.44,61730.67,61919.33,61650.01,61828.17,62091.99,62149.77,61584.76,61730.67,61559.99,62225.31,61500.0,62091.99,61706.46,61729.85,61472.37,61560.0,61640.01,61719.92,61611.0,61706.47,61536.04,61672.46,61523.03,61640.01,61493.11,61587.06,61472.01,61536.04,61450.0,61582.0,61338.56,61493.11,61882.39,61890.0,61411.7,61450.0,61842.11,61930.0,61740.0,61882.39,61714.58,62015.52,61690.0,61842.11,61576.0,61829.99,61539.77,61714.57,61730.0,61855.23,61532.45,61576.0,61990.0,62389.22,61696.64,61729.99,61341.87,61994.0,61314.0,61990.0,61196.01,61660.0,61154.6,61341.88,61110.01,61314.2,61096.0,61196.02,61282.78,61455.15,61110.0,61110.01,60866.0,61346.0,60818.0,61282.78,60794.01,60866.0,60736.62,60866.0,60742.0,60914.51,60715.54,60794.01,60805.5,60853.06,60606.63,60742.01,61114.02,61148.84,60792.0,60805.5,61037.31,61192.0,61013.24,61114.02,61029.49,61300.0,60946.01,61037.31,61064.01,61096.02,60852.87,61029.49,60982.0,61150.0,60890.47,61064.01,60864.98,61052.65,60764.73,60982.0,60924.61,60969.79,60783.26,60864.99,61054.35,61054.36,60783.13,60924.61,60993.36,61080.0,60921.04,61054.35,61000.01,61155.66,60712.0,60993.36,60910.02,61142.0,60715.3,61000.01,61242.0,61245.92,60902.0,60910.02,61274.0,61358.76,60855.0,61242.0
5,133,Larga,61052.3,0.0,1.62,1.7,60063.28,62091.27,915.83,2040.0,Ganadora,61603.54,61864.01,61603.54,61707.99,61717.9,61749.08,61590.01,61603.54,61587.11,61776.71,61587.1,61717.9,61719.61,61860.0,61528.16,61587.11,61496.0,61747.0,61456.34,61719.61,61560.0,61660.0,61346.0,61496.0,61540.0,61668.0,61524.51,61560.0,61529.7,61634.72,61504.42,61540.0,61556.0,61713.65,61511.11,61529.7,61528.01,61608.07,61393.07,61556.01,61040.17,61782.0,61040.17,61528.01,60789.26,61040.18,60771.33,61040.18,60777.54,60809.99,60712.21,60789.26,60898.32,60901.2,60765.18,60777.55,60834.27,60949.36,60791.98,60898.32,60961.99,60961.99,60740.94,60834.27,61024.55,61043.44,60930.03,60961.99,60986.68,61078.01,60922.0,61024.55,60970.0,61059.37,60940.0,60986.68,61044.99,61060.0,60839.51,60970.0,61050.0,61090.0,60944.94,61044.99,61057.38,61088.4,60970.0,61050.0,61059.04,61080.0,60933.98,61057.39,61040.77,61065.0,60990.0,61059.04,61009.91,61060.98,60937.03,61040.77,61106.0,61124.0,60915.12,61009.91,61018.01,61106.0,60956.79,61106.0,61102.98,61160.0,60949.67,61018.01,61045.43,61182.7,61010.0,61102.98,61102.33,61161.8,60990.74,61045.43,60994.36,61224.0,60923.74,61102.33,60970.0,61033.34,60907.8,60994.36,60982.03,61006.68,60890.03,60970.0,61052.3,61087.36,60912.72,60982.03,60847.75,61146.64,60831.44,61052.3,60762.02,60857.28,60742.08,60847.75,60773.55,60788.2,60726.05,60762.02,60762.0,60800.0,60704.46,60773.55,60766.05,60811.45,60714.04,60762.0,60901.03,60978.28,60703.53,60766.05,60770.71,61009.29,60757.04,60901.03,60427.84,60820.0,60383.77,60770.71,60367.99,60450.0,60360.0,60427.84,60366.0,60412.4,60293.88,60367.99,60229.92,60400.0,60132.83,60366.01,60123.73,60357.93,60063.0,60229.92,60828.02,60849.82,60079.41,60123.73,60826.63,60870.0,60669.74,60828.02,60940.01,61076.25,60708.32,60826.63,61062.0,61119.58,60650.0,60940.01
